n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.0001625,5.53581e-05,0.0001,0.0001,0.0002,0.0002,0.0003
2,0.000525,5.08001e-05,0.0004,0.0005,0.0005,0.0006,0.0006
3,0.00361875,0.000430632,0.0032,0.0033,0.0033,0.0041,0.0044
4,0.0250469,0.000346396,0.0245,0.024675,0.0253,0.0253,0.0254
5,0.1946,0.0031038,0.1913,0.191475,0.1935,0.197625,0.1998
6,1.64751,0.100202,1.5689,1.59032,1.62955,1.64118,2.0053
7,12.4809,0.168642,12.33,12.4348,12.4652,12.4887,13.3634
8,96.5021,0.485217,95.0082,96.4076,96.552,96.6873,97.5991
9,794.126,16.2472,775.112,779.908,789.911,809.549,823.125
10,6764.44,216.922,6484.44,6619.02,6734.43,6862.24,7444.22
