n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.00335625,0.00184005,0.0026,0.002675,0.00275,0.003325,0.0126
2,0.0240094,0.00325501,0.0205,0.020875,0.02475,0.026325,0.031
3,0.153041,0.0026461,0.1505,0.151775,0.15225,0.153325,0.1655
4,1.08559,0.0482942,1.0639,1.07285,1.0761,1.079,1.3455
5,7.83773,0.697428,7.5849,7.60015,7.6191,7.63193,10.4478
6,55.0725,2.63501,53.1312,53.4305,53.9074,55.2828,63.0493
7,391.979,16.2947,374.716,381.221,390.262,395.952,456.161
8,2701.75,65.4588,2623.6,2659.56,2701.43,2719.72,2947.04
9,19022.1,212.077,18771.9,18901.6,19002.7,19075,19896
10,132943,1011.74,130839,132608,132891,133411,136065
