n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.00019375,8.00705e-05,0.0001,0.000175,0.0002,0.0002,0.0005
2,0.0006125,0.000160141,0.0005,0.0005,0.0006,0.0006,0.001
3,0.0034625,6.09071e-05,0.0034,0.0034,0.0035,0.0035,0.0036
4,0.0275719,0.000339102,0.0273,0.0275,0.0275,0.0275,0.0293
5,0.214922,0.0131909,0.1949,0.211475,0.21185,0.212925,0.2682
6,1.6601,0.0829568,1.6005,1.6299,1.6425,1.64695,2.0469
7,12.5672,0.182235,12.3976,12.4916,12.507,12.5506,13.157
8,98.0534,1.0774,97.1558,97.5086,97.9183,98.1808,102.7
9,820.666,21.4812,789.624,805.577,821.292,834.537,873.972
10,6775.03,372.508,6522.16,6563.49,6628.24,6884.46,8429.35
