n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.00334687,0.00175628,0.0025,0.0027,0.00285,0.003,0.012
2,0.0218375,0.000575718,0.0208,0.0214,0.02185,0.022125,0.0237
3,0.165688,0.0148749,0.1562,0.1581,0.1604,0.16235,0.2092
4,1.16379,0.0878953,1.1156,1.1251,1.13025,1.14538,1.4646
5,7.99721,0.132836,7.8978,7.9347,7.95155,7.99232,8.5614
6,56.7681,1.18647,55.4772,55.9587,56.3151,57.3403,60.2184
7,405.009,14.4828,393.083,395.957,400.625,410.718,468.999
8,2829.14,36.6659,2793.31,2806.36,2813.17,2841.13,2949.14
9,19687.2,231.564,19214.1,19564,19695,19840.6,20145.7
10,137229,1412.91,135063,136073,137287,138225,139771
