n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.00016875,8.95779e-05,0.0001,0.0001,0.00015,0.0002,0.0005
2,0.000509375,4.65547e-05,0.0004,0.0005,0.0005,0.0005,0.0006
3,0.00354375,0.0010701,0.0033,0.0033,0.0034,0.0034,0.0094
4,0.0441625,0.0226131,0.025,0.0253,0.0286,0.0722,0.0782
5,0.222853,0.0573258,0.1953,0.19595,0.1974,0.20425,0.3893
6,1.70203,0.433545,1.5927,1.60445,1.613,1.62237,4.0447
7,12.8156,1.04302,12.4987,12.5541,12.5848,12.6141,18.3651
8,99.7565,5.25903,95.9693,96.4415,97.8117,100.896,119.109
9,839.147,32.4369,787.683,817.93,834.821,860.192,922.151
10,6848.48,481.886,6428.95,6503.69,6681.79,6998.87,8522.8
