n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.000365625,0.000993401,0.0001,0.0002,0.0002,0.0002,0.0058
2,0.0005875,0.000100803,0.0005,0.0005,0.0006,0.0006,0.0008
3,0.00346563,0.000202579,0.0033,0.0034,0.0034,0.0035,0.0045
4,0.0473656,0.00227803,0.0454,0.046575,0.0471,0.0475,0.0593
5,0.3856,0.00280081,0.3793,0.383775,0.38535,0.3874,0.3935
6,2.91526,0.00953285,2.8997,2.9091,2.91575,2.91828,2.9495
7,21.2965,0.0284861,21.2555,21.2817,21.292,21.3057,21.3969
8,157.749,5.68147,153.036,153.549,156.414,159.771,179.092
9,1112.79,6.20071,1100.45,1108.92,1112.09,1116.01,1135.18
10,7823.08,42.0107,7781.97,7796.16,7806.57,7837.05,7970.15
