n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.000175,7.18421e-05,0.0001,0.0001,0.0002,0.0002,0.0004
2,0.000540625,0.000116007,0.0004,0.0005,0.0005,0.000525,0.0011
3,0.00336562,6.01577e-05,0.0033,0.0033,0.0034,0.0034,0.0035
4,0.0254688,0.00123457,0.025,0.0251,0.02515,0.025225,0.0318
5,0.196275,0.002246,0.187,0.1956,0.19595,0.196925,0.2027
6,1.62362,0.0503938,1.5916,1.6055,1.6143,1.61945,1.8313
7,12.6656,0.120221,12.4628,12.6176,12.6402,12.6601,13.0563
8,100.635,3.19277,97.7283,99.2441,99.8788,101.068,111.906
9,784.382,6.49824,772.082,779,786.32,788.714,794.096
10,6300.27,36.4245,6234.27,6286.12,6291.89,6312.29,6461.35
