n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.00301875,0.0016241,0.0026,0.0027,0.0027,0.0028,0.0119
2,0.0216719,0.00028538,0.0211,0.021575,0.0217,0.0218,0.0227
3,0.157791,0.00103155,0.1562,0.157175,0.15775,0.158225,0.1611
4,1.12057,0.0041007,1.111,1.1182,1.1211,1.12275,1.1319
5,7.92667,0.165534,7.8036,7.88662,7.89635,7.91472,8.7242
6,55.6258,0.249593,55.2205,55.445,55.5807,55.809,56.3744
7,390.627,1.27931,388.738,389.839,390.512,390.982,394.586
8,2774.97,43.908,2725.07,2735.34,2765.48,2809.71,2858.68
9,19697.2,168.272,19177.9,19638.8,19700,19798.3,20008.6
10,134777,1556.81,132139,133941,134615,135413,139803
